,Timestamp, I prefer to do things with others rather than on my own., I prefer to do things the same way over and over again.," If I try to imagine something, I find it very easy to create a picture in my mind.", I frequently get so strongly absorbed in one thing that I lose sight of other things., I often notice small sounds when others do not., I usually notice car number plates or similar strings of information.," Other people frequently tell me that what I've said is impolite, even though I think it is polite."," When I'm reading a story, I can easily imagine what the characters might look like.", I am fascinated by dates.," In a social group, I can easily keep track of several different people's conversations.", I find social situations easy., I tend to notice details that others do not., I would rather go to a library than to a party., I find making up stories easy., I find myself drawn more strongly to people than to things.," I tend to have very strong interests, which I get upset about if I can't pursue.", I enjoy social chitchat.," When I talk, it isn't always easy for others to get a word in edgewise.", I am fascinated by numbers.," When I'm reading a story, I find it difficult to work out the characters' intentions.", I don't particularly enjoy reading fiction., I find it hard to make new friends., I notice patterns in things all the time., I would rather go to the theater than to a museum., It does not upset me if my daily routine is disturbed., I frequently find that I don't know how to keep a conversation going., I find it easy to 'read between the lines' when someone is talking to me.," I usually concentrate more on the whole picture, rather than on the small details.", I am not very good at remembering phone numbers., I don't usually notice small changes in a situation or a person's appearance., I know how to tell if someone listening to me is getting bored., I find it easy to do more than one thing at once.," When I talk on the phone, I'm not sure when it's my turn to speak.", I enjoy doing things spontaneously., I am often the last to understand the point of a joke., I find it easy to work out what someone is thinking or feeling just by looking at their face.," If there is an interruption, I can switch back to what I was doing very quickly.", I am good at social chitchat., People often tell me that I keep going on and on about the same thing.," When I was young, I used to enjoy playing games involving pretending with other children."," I like to collect information about categories of things (e.g., types of cars, birds, trains, plants).", I find it difficult to imagine what it would be like to be someone else., I like to carefully plan any activities I participate in., I enjoy social occasions., I find it difficult to work out people's intentions., New situations make me anxious., I enjoy meeting new people., I am a good diplomat., I am not very good at remembering people's date of birth., I find it very easy to play games with children that involve pretending.,Age,Sex,Which of the following best describes your current occupation?,How many years of education have you done?
10,19/10/2019 10:13:41,Definitely agree,Definitely disagree,Definitely agree,Definitely disagree,Slightly agree,Slightly disagree,Definitely disagree,Definitely agree,Definitely disagree,Slightly agree,Definitely agree,Slightly agree,Definitely disagree,Definitely agree,Definitely agree,Definitely disagree,Definitely agree,Definitely disagree,Definitely disagree,Definitely disagree,Definitely agree,Definitely disagree,Slightly agree,Slightly disagree,Slightly agree,Definitely disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Definitely agree,Slightly agree,Definitely disagree,Definitely agree,Definitely disagree,Slightly agree,Slightly agree,Definitely agree,Definitely disagree,Slightly agree,Definitely disagree,Slightly disagree,Slightly disagree,Definitely agree,Slightly disagree,Definitely disagree,Definitely agree,Definitely agree,Slightly agree,Definitely agree,34.0,Male,Management Occupations,completed Undergraduate degree
11,19/10/2019 10:49:19,Definitely agree,Definitely agree,Definitely agree,Definitely agree,Definitely agree,Definitely agree,Slightly agree,Definitely agree,Slightly agree,Definitely disagree,Slightly disagree,Definitely agree,Definitely agree,Definitely agree,Definitely disagree,Definitely agree,Slightly disagree,Definitely agree,Definitely agree,Slightly disagree,Definitely agree,Definitely disagree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Slightly disagree,Slightly disagree,Definitely disagree,Definitely agree,Slightly agree,Slightly disagree,Definitely agree,Definitely agree,Slightly agree,Slightly agree,Definitely agree,Slightly disagree,Slightly agree,Slightly agree,Definitely agree,Slightly agree,Definitely agree,Slightly disagree,Slightly agree,Definitely agree,Slightly disagree,Definitely agree,Definitely agree,Definitely disagree,,Male,"Arts, Design, Entertainment, Sports, and Media Occupations",completed year 12
12,19/10/2019 10:49:47,Definitely agree,Definitely agree,Definitely agree,Definitely agree,Definitely agree,Definitely agree,Slightly agree,Definitely agree,Slightly agree,Definitely disagree,Slightly disagree,Definitely agree,Definitely agree,Definitely agree,Definitely disagree,Definitely agree,Slightly disagree,Definitely agree,Definitely agree,Slightly disagree,Definitely agree,Definitely disagree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Slightly disagree,Slightly disagree,Definitely disagree,Definitely agree,Slightly agree,Slightly disagree,Definitely agree,Definitely agree,Slightly agree,Slightly agree,Definitely agree,Slightly disagree,Slightly agree,Slightly agree,Definitely agree,Slightly agree,Definitely agree,Slightly disagree,Slightly agree,Definitely agree,Slightly disagree,Definitely agree,Definitely agree,Definitely disagree,,Male,"Arts, Design, Entertainment, Sports, and Media Occupations",completed year 12
13,19/10/2019 11:06:52,Definitely agree,Slightly disagree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Definitely disagree,Definitely agree,Slightly agree,Definitely agree,Definitely agree,Slightly disagree,Slightly disagree,Slightly agree,Definitely agree,Slightly disagree,Definitely agree,Slightly disagree,Definitely agree,Definitely disagree,Definitely disagree,Definitely disagree,Definitely agree,Slightly disagree,Slightly disagree,Definitely disagree,Slightly disagree,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree,Definitely agree,Slightly disagree,Definitely agree,Slightly disagree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Definitely agree,Definitely agree,Slightly disagree,Slightly disagree,Definitely agree,Definitely agree,Slightly agree,Definitely agree,Slightly agree,Slightly disagree,Slightly agree,28.0,Female,Architecture and Engineering Occupations,completed PhD
14,19/10/2019 11:44:52,Definitely disagree,Slightly disagree,Slightly agree,Definitely agree,Definitely agree,Slightly disagree,Definitely disagree,Slightly disagree,Definitely disagree,Definitely disagree,Slightly disagree,Definitely agree,Slightly disagree,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree,Definitely disagree,Slightly agree,Slightly agree,Slightly agree,Definitely agree,Definitely agree,Slightly disagree,Slightly agree,Definitely agree,Definitely agree,Slightly disagree,Definitely agree,Slightly disagree,Definitely agree,Definitely disagree,Slightly disagree,Definitely agree,Definitely disagree,Definitely agree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Definitely disagree,Slightly disagree,Definitely disagree,Slightly agree,Slightly agree,Definitely agree,Slightly disagree,Definitely agree,Definitely agree,Slightly disagree,36.0,Male,Healthcare Practitioners and Technical Occupations,completed PhD
15,19/10/2019 11:45:23,Slightly disagree,Slightly disagree,Slightly agree,Definitely agree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree,Slightly disagree,Definitely disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Definitely disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Definitely disagree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Definitely disagree,Definitely disagree,Definitely disagree,38.0,Male,Business and Financial Operations Occupations,completed Honours or Masters degree
16,19/10/2019 11:46:19,Slightly disagree,Slightly disagree,Slightly agree,Slightly agree,Definitely disagree,Slightly disagree,Slightly disagree,Slightly agree,Definitely disagree,Definitely disagree,Slightly disagree,Slightly agree,Slightly disagree,Definitely disagree,Slightly disagree,Slightly agree,Slightly disagree,Definitely disagree,Slightly agree,Definitely disagree,Definitely disagree,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly agree,Slightly disagree,Slightly agree,Slightly disagree,Definitely agree,Definitely agree,Definitely disagree,Slightly agree,Definitely disagree,Slightly disagree,Slightly disagree,Slightly disagree,Definitely disagree,Slightly disagree,Definitely disagree,Definitely disagree,Definitely disagree,Slightly agree,Slightly disagree,Slightly disagree,Definitely agree,Slightly disagree,Definitely disagree,Slightly disagree,Definitely disagree,32.0,Male,Computer and Mathematical Occupations,completed Honours or Masters degree
17,19/10/2019 11:46:43,Slightly agree,Definitely disagree,Definitely agree,Definitely disagree,Slightly agree,Definitely disagree,Definitely disagree,Slightly agree,Definitely disagree,Slightly agree,Definitely agree,Definitely agree,Definitely disagree,Slightly agree,Slightly agree,Definitely disagree,Definitely disagree,Slightly disagree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Definitely agree,Definitely agree,Slightly agree,Definitely agree,Slightly disagree,Definitely agree,Definitely disagree,Definitely agree,Definitely agree,Definitely disagree,Slightly agree,Definitely disagree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Definitely disagree,Definitely agree,Slightly disagree,Definitely agree,Slightly disagree,Slightly disagree,Slightly agree,Definitely agree,Definitely agree,Definitely agree,33.0,Male,"Arts, Design, Entertainment, Sports, and Media Occupations",completed Undergraduate degree
18,19/10/2019 11:47:21,Slightly agree,Definitely agree,Definitely agree,Slightly agree,Definitely disagree,Slightly disagree,Slightly disagree,,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Definitely agree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly disagree,Definitely disagree,Slightly disagree,Slightly agree,Slightly agree,Definitely disagree,Definitely disagree,Definitely agree,Definitely agree,Slightly disagree,Slightly agree,Definitely agree,Definitely disagree,Slightly disagree,Slightly agree,Definitely disagree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Definitely agree,Definitely disagree,Definitely disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Definitely agree,Slightly agree,Slightly disagree,Definitely agree,36.0,Female,Computer and Mathematical Occupations,completed Honours or Masters degree
19,19/10/2019 11:48:17,Definitely disagree,Slightly agree,Definitely agree,Definitely agree,Definitely agree,Definitely agree,Slightly agree,Slightly disagree,Slightly agree,Slightly disagree,Definitely disagree,Slightly agree,Definitely agree,Slightly agree,Definitely disagree,Definitely agree,Definitely disagree,Definitely agree,Definitely agree,Definitely agree,Definitely agree,Definitely agree,Slightly agree,Slightly disagree,Slightly agree,Definitely agree,Slightly disagree,Slightly agree,Slightly disagree,Definitely agree,Slightly agree,Slightly disagree,Definitely agree,Definitely agree,Slightly agree,Slightly disagree,Definitely agree,Definitely disagree,Slightly agree,Definitely agree,Definitely agree,Slightly agree,Definitely agree,Slightly disagree,Slightly agree,Definitely agree,Slightly disagree,Definitely agree,Definitely agree,Definitely disagree,21.0,Male,"Arts, Design, Entertainment, Sports, and Media Occupations",did not complete year 12
20,19/10/2019 11:48:57,Slightly agree,Slightly agree,Definitely agree,Slightly disagree,Definitely agree,Slightly disagree,Slightly disagree,Slightly disagree,Definitely disagree,Definitely agree,Slightly agree,Definitely agree,Definitely disagree,Slightly agree,Definitely agree,Definitely disagree,Definitely disagree,Definitely disagree,Slightly agree,Slightly disagree,Definitely disagree,Slightly agree,Slightly disagree,Definitely agree,Slightly agree,Definitely disagree,Definitely agree,Slightly agree,Definitely agree,Definitely disagree,Slightly agree,Definitely agree,Definitely disagree,Slightly agree,Slightly disagree,Definitely agree,Definitely agree,Slightly agree,Slightly disagree,Definitely agree,Definitely disagree,Definitely disagree,Definitely disagree,Definitely agree,Definitely disagree,Slightly agree,Slightly agree,Definitely agree,Definitely disagree,Slightly agree,30.0,Female,"Arts, Design, Entertainment, Sports, and Media Occupations",completed Honours or Masters degree
